time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
2963.86740,-0.72535,-3.46111,80.69381,14.34629,13.75105,24.64887,27.94761
2963.87740,-0.72535,-3.46111,80.69381,14.34629,13.75105,24.64887,27.94761
2963.88740,-0.72793,-3.46029,80.68889,14.34629,13.75225,24.64167,27.94869
2963.89740,-0.72994,-3.45351,80.68981,14.34129,13.78155,24.64337,27.92361
2963.90740,-0.71298,-3.45277,80.72681,14.33629,13.80205,24.69787,27.89061
2963.91740,-0.71101,-3.46559,80.63028,14.30206,13.75730,24.68909,27.88183
2963.92740,-0.71073,-3.46738,80.61681,14.29729,13.75105,24.68787,27.88061
2963.93740,-0.73418,-3.47934,80.51231,14.24547,13.72428,24.64555,27.89702
2963.94740,-0.71526,-3.45894,80.74762,14.34097,13.78279,24.69899,27.92487
2963.95740,-0.71193,-3.45566,80.78481,14.35629,13.79205,24.70787,27.92861
2963.96740,-0.69617,-3.46340,80.59548,14.36429,13.69072,24.63764,27.90283
2963.97740,-0.72065,-3.47239,80.76479,14.32211,13.76000,24.71610,27.96658
2963.98740,-0.72421,-3.47346,80.79081,14.31629,13.77105,24.72787,27.97561
2963.99740,-0.72876,-3.45240,80.73481,14.30740,13.83505,24.70120,27.89116
2964.00740,-0.72933,-3.44977,80.72781,14.30629,13.84305,24.69787,27.88061
2964.01740,-0.71417,-3.47288,80.70757,14.28957,13.77089,24.73307,27.91405
2964.02740,-0.70511,-3.47301,80.69425,14.32161,13.73377,24.71147,27.92741
2964.03740,-0.70416,-3.47260,80.69281,14.32629,13.73005,24.70787,27.92861
2964.04740,-0.70407,-3.47297,80.68833,14.32549,13.72797,24.70667,27.92821
2964.05740,-0.70191,-3.48195,80.58081,14.30629,13.67805,24.67787,27.91861
2964.06740,-0.71947,-3.47753,80.69557,14.30629,13.73353,24.70067,27.95509
2964.07740,-0.70760,-3.48188,80.68672,14.30173,13.71964,24.72307,27.94229
2964.08740,-0.69064,-3.48747,80.64281,14.29729,13.68905,24.73787,27.91861
2964.09740,-0.70072,-3.48253,80.68005,14.30413,13.71261,24.73027,27.93305
2964.10740,-0.69146,-3.47792,80.71613,14.33618,13.70941,24.73293,27.93761
