time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
3269.86440,1.13629,-6.05157,73.29673,8.30123,8.89273,30.27060,25.83217
3269.87440,1.12528,-6.02851,73.24012,8.36162,8.89315,30.16180,25.82355
3269.88440,1.11703,-6.01366,73.37773,8.40023,8.93473,30.18160,25.86117
3269.89440,1.11703,-6.01366,73.37773,8.40023,8.93473,30.18160,25.86117
3269.90440,1.11207,-6.02373,73.13268,8.38063,8.86415,30.06398,25.82393
3269.91440,1.11360,-6.02355,73.12249,8.38023,8.86273,30.06160,25.81793
3269.92440,1.11156,-6.02383,73.10520,8.37524,8.86273,30.05405,25.81317
3269.93440,1.10223,-6.02314,73.06721,8.36598,8.86525,30.02760,25.80838
3269.94440,1.14565,-6.00832,73.20773,8.43923,8.87273,30.10160,25.79417
3269.95440,1.11107,-6.01604,73.19770,8.37550,8.90932,30.10160,25.81129
3269.96440,1.09934,-6.02375,73.06918,8.34847,8.88128,30.04126,25.79817
3269.97440,1.10130,-6.02412,73.04973,8.35123,8.87273,30.03160,25.79417
3269.98440,1.08290,-5.98044,73.18928,8.43565,8.96145,29.98939,25.80279
3269.99440,1.07994,-5.97342,73.21173,8.44923,8.97573,29.98260,25.80417
3270.00440,1.05953,-5.99008,73.14767,8.39844,8.95783,29.96528,25.82611
3270.01440,1.04325,-5.99346,73.20517,8.40181,8.95726,29.96454,25.88156
3270.02440,1.04236,-5.98750,73.27573,8.42923,8.96573,29.97260,25.90817
3270.03440,1.05001,-5.99230,73.15363,8.39297,8.95759,29.95780,25.84527
3270.04440,1.02651,-5.99006,73.15323,8.38023,8.97744,29.93062,25.86494
3270.05440,1.01696,-5.98862,73.16873,8.38023,8.98573,29.92260,25.88017
3270.06440,1.04981,-6.00361,73.02148,8.35856,8.92443,29.92260,25.81589
3270.07440,1.06094,-6.00869,72.97173,8.35123,8.90373,29.92260,25.79417
3270.08440,1.04971,-6.01559,72.97962,8.33644,8.89830,29.92260,25.82228
3270.09440,1.04923,-6.01395,73.06161,8.35796,8.90139,29.94323,25.85901
3270.10440,1.06492,-6.00156,73.16673,8.41023,8.91373,29.97260,25.87017
3270.11440,1.05559,-5.99362,73.11567,8.39200,8.94533,29.94829,25.83006
3270.12440,1.05134,-5.98596,73.12418,8.40498,8.95892,29.93260,25.82768
3270.13440,1.05244,-5.98441,73.14973,8.42023,8.95473,29.93260,25.84217
3270.14440,1.05244,-5.98441,73.14973,8.42023,8.95473,29.93260,25.84217
3270.15440,1.04655,-5.99205,73.16873,8.40023,8.95473,29.95260,25.86117
3270.16440,1.02917,-6.00291,73.10573,8.35676,8.94843,29.93370,25.86684
3270.17440,1.02383,-5.99760,73.04353,8.35328,8.95418,29.89560,25.84047
3270.18440,1.02981,-5.98330,73.01273,8.38023,8.96573,29.86260,25.80417
3270.19440,1.03424,-5.97135,72.97097,8.40375,8.97053,29.82468,25.77201
3270.20440,1.03950,-5.97522,72.92524,8.38569,8.96533,29.82764,25.74658
3270.21440,1.03996,-5.99240,72.92473,8.34123,8.95473,29.87260,25.75617
3270.22440,1.05141,-5.98538,72.97270,8.39072,8.93907,29.86755,25.77536
3270.23440,1.06262,-5.97851,73.01973,8.43923,8.92373,29.86260,25.79417
3270.24440,1.06262,-5.97851,73.01973,8.43923,8.92373,29.86260,25.79417
3270.25440,1.05469,-5.98168,72.96139,8.39143,8.94752,29.86644,25.75600
3270.26440,1.05059,-5.97675,72.92873,8.36123,8.98573,29.87260,25.70917
3270.27440,1.06591,-5.98596,72.98536,8.37576,8.95518,29.91358,25.74084
3270.28440,1.08533,-6.00127,73.05981,8.38588,8.91370,29.97530,25.78493
3270.29440,1.06776,-6.00077,73.00171,8.34602,8.94140,29.95503,25.75925
3270.30440,1.07353,-6.00250,72.99369,8.35657,8.92341,29.95000,25.76371
3270.31440,1.09597,-6.00760,72.99073,8.40023,8.86273,29.94260,25.78517
3270.32440,1.09808,-6.00553,73.01541,8.39305,8.88237,29.96632,25.77367
3270.33440,1.10643,-5.99867,73.07838,8.37023,8.94208,30.03631,25.72976
3270.34440,1.11100,-5.99781,73.03573,8.37023,8.93473,30.02160,25.70917
3270.35440,1.10750,-5.99567,73.02767,8.37803,8.93187,30.00366,25.71411
3270.36440,1.11170,-5.99029,73.01220,8.40770,8.91575,29.97294,25.71582
3270.37440,1.15253,-5.99235,73.03373,8.42923,8.89273,30.03160,25.68017
3270.38440,1.14628,-5.99215,73.02148,8.42698,8.89273,30.01685,25.68492
3270.39440,1.12750,-5.99153,72.98473,8.42023,8.89273,29.97260,25.69917
3270.40440,1.12666,-5.99312,72.97785,8.41856,8.88769,29.96924,25.70236
3270.41440,1.12330,-5.99947,72.95034,8.41184,8.86756,29.95582,25.71511
3270.42440,1.07945,-5.99075,73.02473,8.37023,8.95473,29.96260,25.73717
3270.43440,1.08328,-5.99226,73.01507,8.37023,8.94759,29.96400,25.73325
3270.44440,1.10497,-6.00060,72.95927,8.37567,8.90223,29.96580,25.71556
3270.45440,1.09284,-5.99444,72.98173,8.41023,8.89273,29.92260,25.75617
3270.46440,1.09498,-5.99502,72.98338,8.40874,8.89273,29.92858,25.75333
3270.47440,1.11150,-5.99955,72.99602,8.39724,8.89273,29.97455,25.73150
3270.48440,1.12171,-6.00229,73.00348,8.39034,8.89262,30.00260,25.71792
3270.49440,1.13582,-6.00044,72.97848,8.40098,8.88198,30.00260,25.69292
3270.50440,1.12249,-6.02256,72.94373,8.34123,8.86273,30.02160,25.71817
3270.51440,1.12235,-6.02254,72.94344,8.34113,8.86283,30.02131,25.71817
3270.52440,1.10873,-6.02041,72.91532,8.33153,8.87263,29.99318,25.71799
3270.53440,1.14215,-6.01862,72.97415,8.36094,8.86282,30.05102,25.69936
3270.54440,1.14249,-6.01860,72.97473,8.36123,8.86273,30.05160,25.69917
3270.55440,1.15258,-6.02068,72.97156,8.39245,8.82410,30.03573,25.71928
3270.56440,1.16157,-6.02253,72.96873,8.42023,8.78973,30.02160,25.73717
3270.57440,1.15900,-6.02438,72.96279,8.41024,8.79238,30.02413,25.73604
3270.58440,1.14346,-6.02550,72.95037,8.36005,8.83609,30.04160,25.71263
3270.59440,1.14938,-5.99433,73.02673,8.41023,8.90373,30.04160,25.67117
3270.60440,1.12641,-6.01411,72.97084,8.35741,8.87999,30.02629,25.70716
3270.61440,1.13292,-6.02538,72.91037,8.34123,8.84584,30.02160,25.70169
3270.62440,1.13499,-6.02618,72.90373,8.34123,8.84173,30.02160,25.69917
3270.63440,1.15488,-6.01645,73.09992,8.40061,8.85980,30.09904,25.74048
3270.64440,1.15809,-6.01488,73.13173,8.41023,8.86273,30.11160,25.74717
3270.65440,1.17633,-6.02840,72.94294,8.36760,8.81749,30.08550,25.67235
3270.66440,1.15278,-6.01612,72.92116,8.37233,8.84693,30.02963,25.67227
3270.67440,1.13405,-6.00592,72.92573,8.38023,8.87273,29.99260,25.68017
3270.68440,1.14924,-6.01245,72.91765,8.38023,8.84993,30.01392,25.67356
3270.69440,1.13965,-6.01835,72.96291,8.38023,8.84173,30.02160,25.71935
3270.70440,1.13317,-6.01354,73.02571,8.38761,8.86459,30.03635,25.73717
3270.71440,1.11954,-6.00670,73.01333,8.37528,8.89590,30.01918,25.72297
3270.72440,1.11505,-6.00512,73.00373,8.37023,8.90373,30.01160,25.71817
3270.73440,1.09916,-6.00340,72.91435,8.37023,8.88808,29.93786,25.71817
3270.74440,1.09485,-6.02104,72.90947,8.36362,8.83714,29.93466,25.77406
3270.75440,1.09527,-6.02760,72.91873,8.36123,8.82073,29.94260,25.79417
3270.76440,1.10690,-6.01458,72.94254,8.38251,8.84669,29.95342,25.75991
3270.77440,1.11560,-5.99595,72.94246,8.40211,8.88669,29.94844,25.70521
3270.78440,1.10780,-5.99885,72.91473,8.39023,8.88273,29.93260,25.70917
3270.79440,1.09822,-6.00342,72.98164,8.37243,8.90176,29.96943,25.73802
3270.80440,1.09221,-6.00629,73.02373,8.36123,8.91373,29.99260,25.75617
3270.81440,1.11460,-5.99741,72.95074,8.39773,8.88837,29.95549,25.70916
3270.82440,1.13328,-6.00781,72.93115,8.39813,8.85007,29.97626,25.70670
3270.83440,1.13721,-6.02065,72.95173,8.38023,8.83173,30.01160,25.72817
3270.84440,1.12177,-6.02313,72.90869,8.36214,8.83173,29.98104,25.73379
3270.85440,1.11244,-6.02463,72.88273,8.35123,8.83173,29.96260,25.73717
3270.86440,1.09306,-6.02505,72.94483,8.33856,8.85771,29.97527,25.77329
3270.87440,1.07752,-6.02252,73.00107,8.33123,8.88639,29.98593,25.79751
3270.88440,1.07061,-6.01812,73.03334,8.33123,8.90809,29.99122,25.80280
3270.89440,1.06882,-6.01698,73.04173,8.33123,8.91373,29.99260,25.80417
3270.90440,1.07545,-6.00478,73.03340,8.37593,8.90615,29.95472,25.79660
3270.91440,1.07230,-6.00116,72.90432,8.37518,8.88792,29.88240,25.75881
3270.92440,1.07055,-6.00125,72.86273,8.37023,8.88273,29.86260,25.74717
3270.93440,1.04762,-6.01436,73.05273,8.30123,8.95473,29.99260,25.80417
3270.94440,1.04653,-6.01671,72.93223,8.31123,8.90873,29.91760,25.79467
3270.95440,1.02944,-6.00901,72.89144,8.32123,8.91372,29.85745,25.79903
3270.96440,1.01316,-5.99877,72.97273,8.32123,8.96573,29.87260,25.81317
3270.97440,1.00983,-5.98990,72.94167,8.35142,8.95654,29.82054,25.81317
3270.98440,0.99953,-5.98271,72.85104,8.36470,8.94473,29.74250,25.79911
3270.99440,0.98928,-5.98991,72.76473,8.32123,8.94473,29.72360,25.77517
3271.00440,1.00588,-5.99303,72.83799,8.33233,8.94103,29.77873,25.78590
3271.01440,1.03407,-5.99834,72.96273,8.35123,8.93473,29.87260,25.80417
3271.02440,1.03786,-6.00245,72.93597,8.33976,8.92670,29.87642,25.79309
3271.03440,1.04321,-6.00545,72.89518,8.33103,8.91618,29.87280,25.77517
3271.04440,1.04115,-5.99559,72.90181,8.35752,8.92280,29.84631,25.77517
3271.05440,1.03303,-5.99173,72.89098,8.35878,8.93132,29.82570,25.77517
3271.06440,1.02180,-5.98410,72.83234,8.35381,8.94675,29.78107,25.75072
3271.07440,1.05916,-5.98418,72.76773,8.36123,8.92373,29.80260,25.68017
3271.08440,1.05372,-5.98312,72.75357,8.36123,8.92373,29.78604,25.68257
3271.09440,1.03649,-5.97978,72.70873,8.36123,8.92373,29.73360,25.69017
3271.10440,1.02654,-5.97278,72.72271,8.36788,8.94275,29.71756,25.69453
3271.11440,1.00206,-5.94744,72.74577,8.38768,9.00928,29.66870,25.68011
3271.12440,1.02833,-5.94219,72.67573,8.38023,9.01673,29.68360,25.59517
3271.13440,1.03053,-5.94669,72.68082,8.38448,8.99933,29.68572,25.61129
3271.14440,1.03871,-5.96343,72.69973,8.40023,8.93473,29.69360,25.67117
3271.15440,1.03506,-5.96710,72.66860,8.38649,8.92934,29.68490,25.66787
3271.16440,1.01982,-5.98244,72.53889,8.32925,8.90687,29.64867,25.65410
3271.17440,1.06812,-5.96552,72.64373,8.38023,8.93473,29.73360,25.59517
3271.18440,1.06600,-5.96347,72.64575,8.38606,8.93591,29.72528,25.59850
3271.19440,1.04983,-5.95060,72.66003,8.42364,8.94276,29.66805,25.62559
