time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
5550.94900,-0.34802,-2.43000,63.46886,12.34359,12.62639,18.88072,19.61816
5550.95900,-0.31675,-2.39629,63.44849,12.39173,12.66405,18.86837,19.52433
5550.96900,-0.29735,-2.37538,63.43586,12.42159,12.68739,18.86072,19.46616
5550.97900,-0.35041,-2.40030,63.35749,12.34743,12.66127,18.81859,19.53020
5550.98900,-0.30731,-2.42583,63.37761,12.32490,12.62078,18.91409,19.51784
5550.99900,-0.29930,-2.42898,63.38286,12.32359,12.61539,18.92972,19.51416
5551.00900,-0.32890,-2.42891,63.22563,12.30621,12.57109,18.82635,19.52198
5551.01900,-0.30464,-2.46458,63.29501,12.27810,12.52748,18.92408,19.56534
5551.02900,-0.30068,-2.46950,63.30786,12.27459,12.52239,18.93972,19.57116
5551.03900,-0.30815,-2.46671,63.32441,12.27735,12.53384,18.93420,19.57902
5551.04900,-0.35473,-2.44937,63.42786,12.29459,12.60539,18.89972,19.62816
5551.05900,-0.34683,-2.45253,63.40958,12.29459,12.58943,18.90229,19.62327
5551.06900,-0.29087,-2.47497,63.30365,12.29583,12.48429,18.93075,19.59278
5551.07900,-0.27594,-2.48133,63.41486,12.30359,12.50239,18.99972,19.60916
5551.08900,-0.28327,-2.46819,63.34007,12.29213,12.52109,18.96353,19.56332
5551.09900,-0.25308,-2.45324,63.26161,12.31384,12.51014,18.94722,19.49041
5551.10900,-0.24139,-2.45114,63.25186,12.32359,12.50239,18.94972,19.47616
5551.11900,-0.24838,-2.44583,63.25627,12.32359,12.51884,18.94170,19.47215
5551.12900,-0.25769,-2.43876,63.26215,12.32359,12.54076,18.93100,19.46680
5551.13900,-0.27293,-2.49218,63.41362,12.28647,12.48885,19.02063,19.61768
5551.14900,-0.22814,-2.51869,63.54318,12.30423,12.44783,19.13256,19.65856
5551.15900,-0.21260,-2.52158,63.56886,12.31359,12.44039,19.15872,19.65616
5551.16900,-0.24392,-2.50790,63.55366,12.30204,12.48416,19.11678,19.65069
5551.17900,-0.27186,-2.50577,63.63876,12.30010,12.52525,19.11972,19.69369
5551.18900,-0.27675,-2.51000,63.69886,12.30359,12.53339,19.13872,19.72316
5551.19900,-0.29359,-2.49863,63.69949,12.31614,12.55284,19.10170,19.72881
5551.20900,-0.30359,-2.49188,63.69986,12.32359,12.56439,19.07972,19.73216
5551.21900,-0.28847,-2.50276,63.60499,12.29488,12.52570,19.08388,19.70054
5551.22900,-0.27677,-2.52049,63.46319,12.24654,12.46933,19.07940,19.66792
5551.23900,-0.31376,-2.52981,63.42986,12.21559,12.46139,19.03972,19.71316
5551.24900,-0.32106,-2.52954,63.35006,12.19589,12.45079,19.00942,19.69397
5551.25900,-0.32461,-2.53231,63.27424,12.17965,12.42985,18.98312,19.68162
5551.26900,-0.31759,-2.53819,63.27886,12.18559,12.40939,18.98972,19.69416
5551.27900,-0.32670,-2.53337,63.27930,12.18995,12.41857,18.97225,19.69853
5551.28900,-0.33845,-2.52716,63.27986,12.19559,12.43039,18.94972,19.70416
5551.29900,-0.33845,-2.52716,63.27986,12.19559,12.43039,18.94972,19.70416
5551.30900,-0.37052,-2.54398,63.21219,12.15799,12.39503,18.90719,19.75199
5551.31900,-0.36369,-2.54749,63.29386,12.18559,12.38939,18.92972,19.78916
5551.32900,-0.36388,-2.54742,63.29401,12.18526,12.38997,18.92983,19.78895
5551.33900,-0.37334,-2.54229,63.33331,12.16995,12.43480,18.95063,19.77793
5551.34900,-0.32466,-2.54798,63.50086,12.25459,12.39939,19.01972,19.82716
5551.35900,-0.33794,-2.55168,63.51788,12.25089,12.39939,19.01232,19.85528
5551.36900,-0.36054,-2.55798,63.54686,12.24459,12.39939,18.99972,19.90316
5551.37900,-0.35797,-2.56305,63.51184,12.22915,12.38713,19.00170,19.89386
5551.38900,-0.35102,-2.57677,63.41719,12.18744,12.35397,19.00705,19.86873
5551.39900,-0.35337,-2.56794,63.38620,12.18094,12.37304,18.99487,19.83735
5551.40900,-0.35931,-2.55192,63.40286,12.19559,12.40939,18.97972,19.81816
5551.41900,-0.38441,-2.54435,63.41357,12.21449,12.41569,18.92932,19.85407
5551.42900,-0.38716,-2.54661,63.26992,12.20669,12.36143,18.86255,19.83925
5551.43900,-0.38010,-2.55056,63.18186,12.19559,12.32739,18.84072,19.81816
5551.44900,-0.38985,-2.55102,63.21086,12.18559,12.34739,18.85072,19.82716
5551.45900,-0.38979,-2.55068,63.21202,12.18626,12.34810,18.85072,19.82694
5551.46900,-0.38724,-2.52269,63.31026,12.24082,12.40939,18.84812,19.81193
5551.47900,-0.41056,-2.52934,63.29286,12.21559,12.40939,18.83072,19.83716
5551.48900,-0.41020,-2.52809,63.29674,12.21559,12.41436,18.83314,19.83364
5551.49900,-0.40980,-2.51943,63.32087,12.21559,12.44782,18.84557,19.81189
5551.50900,-0.42457,-2.52191,63.29386,12.21559,12.43039,18.81072,19.83716
5551.51900,-0.42457,-2.52191,63.29386,12.21559,12.43039,18.81072,19.83716
5551.52900,-0.43903,-2.52181,63.29314,12.20843,12.43755,18.79640,19.85076
5551.53900,-0.44476,-2.52177,63.29286,12.20559,12.44039,18.79072,19.85616
5551.54900,-0.45050,-2.48422,63.20786,12.23559,12.48139,18.71072,19.78016
5551.55900,-0.45645,-2.48244,63.22443,12.24073,12.48768,18.70501,19.79102
5551.56900,-0.46091,-2.48110,63.23686,12.24459,12.49239,18.70072,19.79916
5551.57900,-0.49209,-2.45877,63.25486,12.24459,12.56139,18.66397,19.78491
5551.58900,-0.50259,-2.45314,63.21000,12.23683,12.56715,18.63448,19.77154
5551.59900,-0.50261,-2.45344,63.20186,12.23559,12.56439,18.63172,19.77016
5551.60900,-0.50594,-2.42507,63.23607,12.28690,12.60518,18.59225,19.75174
5551.61900,-0.50767,-2.41033,63.25386,12.31359,12.62639,18.57172,19.74216
5551.62900,-0.49379,-2.42296,63.21234,12.30370,12.58487,18.58161,19.74216
5551.63900,-0.53116,-2.43791,63.21587,12.26412,12.58439,18.56834,19.79902
5551.64900,-0.54974,-2.44524,63.21786,12.24459,12.58439,18.56172,19.82716
5551.65900,-0.54254,-2.43473,63.29886,12.28459,12.60539,18.57172,19.83716
5551.66900,-0.54254,-2.43473,63.29886,12.28459,12.60539,18.57172,19.83716
5551.67900,-0.52153,-2.43842,63.35886,12.29125,12.61206,18.62505,19.83049
5551.68900,-0.53172,-2.45287,63.25418,12.22281,12.59926,18.62753,19.80458
5551.69900,-0.53670,-2.45590,63.22186,12.20559,12.59539,18.62172,19.79916
5551.70900,-0.56727,-2.43836,63.15034,12.19896,12.62255,18.54887,19.77995
5551.71900,-0.60205,-2.43643,63.04076,12.17229,12.61149,18.47156,19.78542
5551.72900,-0.60675,-2.43815,63.02286,12.16659,12.60539,18.46172,19.78916
5551.73900,-0.60117,-2.43625,63.12819,12.19259,12.62606,18.49505,19.81449
5551.74900,-0.59838,-2.43530,63.18086,12.20559,12.63639,18.51172,19.82716
5551.75900,-0.58547,-2.44515,63.17647,12.23986,12.57312,18.49414,19.86934
5551.76900,-0.62444,-2.44532,63.26386,12.21907,12.62775,18.50052,19.91652
5551.77900,-0.62999,-2.44516,63.27586,12.21559,12.63639,18.50172,19.92216
5551.78900,-0.62999,-2.44516,63.27586,12.21559,12.63639,18.50172,19.92216
5551.79900,-0.62811,-2.45269,63.23380,12.19952,12.61505,18.50012,19.91911
5551.80900,-0.65627,-2.47049,63.25465,12.14711,12.62628,18.52151,19.95975
5551.81900,-0.64234,-2.46437,63.35556,12.17680,12.65310,18.56112,19.96454
5551.82900,-0.62625,-2.45725,63.46998,12.21112,12.68345,18.60590,19.96951
5551.83900,-0.62416,-2.45633,63.48486,12.21559,12.68739,18.61172,19.97016
5551.84900,-0.60208,-2.43592,63.42778,12.27459,12.66276,18.55735,19.93308
5551.85900,-0.60524,-2.42864,63.46686,12.27459,12.69839,18.57172,19.92216
5551.86900,-0.60524,-2.42864,63.46686,12.27459,12.69839,18.57172,19.92216
5551.87900,-0.63044,-2.43805,63.30658,12.20827,12.67552,18.52328,19.89950
