time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
4349.78530,-3.44096,-4.92116,44.18286,5.79159,6.76339,12.78872,18.83916
4349.79530,-3.43559,-4.92398,44.17900,5.79159,6.75683,12.79258,18.83800
4349.80530,-3.39934,-4.94364,44.15613,5.79280,6.71106,12.81872,18.83355
4349.81530,-3.40052,-4.94756,44.17986,5.80159,6.70139,12.81872,18.85816
4349.82530,-3.39898,-4.94627,44.17597,5.80221,6.70216,12.81802,18.85357
4349.83530,-3.38713,-4.93637,44.14602,5.80703,6.70804,12.81268,18.81828
4349.84530,-3.37834,-4.92904,44.12386,5.81059,6.71239,12.80872,18.79216
4349.85530,-3.34875,-4.96752,44.05251,5.77259,6.65578,12.84672,18.77743
4349.86530,-3.39754,-4.95028,43.98286,5.78159,6.66039,12.75872,18.78216
4349.87530,-3.39669,-4.95020,43.98337,5.78188,6.66039,12.75951,18.78159
4349.88530,-3.31277,-4.94295,44.03434,5.81040,6.66029,12.83782,18.72583
4349.89530,-3.34129,-4.96476,44.08186,5.79159,6.65039,12.84772,18.79216
4349.90530,-3.34168,-4.96456,44.08255,5.79178,6.65080,12.84743,18.79254
4349.91530,-3.37971,-4.94384,44.15086,5.81059,6.69139,12.81872,18.83016
4349.92530,-3.37971,-4.94384,44.15086,5.81059,6.69139,12.81872,18.83016
4349.93530,-3.36641,-4.97847,44.10439,5.75806,6.66378,12.86519,18.81736
4349.94530,-3.35528,-4.96778,44.24446,5.78954,6.69249,12.90423,18.85821
4349.95530,-3.35428,-4.96180,44.27880,5.80185,6.70147,12.90745,18.86803
4349.96530,-3.35244,-4.94364,44.27276,5.82802,6.70885,12.88061,18.85528
4349.97530,-3.37463,-4.94367,44.21217,5.82434,6.69533,12.83603,18.85647
4349.98530,-3.37996,-4.94569,44.19886,5.82059,6.69139,12.82872,18.85816
4349.99530,-3.38173,-4.91501,44.30534,5.85579,6.74595,12.83664,18.86696
4350.00530,-3.38197,-4.91084,44.31986,5.86059,6.75339,12.83772,18.86816
4350.01530,-3.38197,-4.91084,44.31986,5.86059,6.75339,12.83772,18.86816
4350.02530,-3.33917,-4.93927,44.44127,5.85801,6.73510,12.93544,18.91271
4350.03530,-3.34196,-4.93855,44.43586,5.86059,6.73239,12.92772,18.91516
4350.04530,-3.34196,-4.93855,44.43586,5.86059,6.73239,12.92772,18.91516
4350.05530,-3.37084,-4.95391,44.11286,5.80384,6.66789,12.81847,18.82266
4350.06530,-3.37048,-4.96724,44.05986,5.79159,6.63939,12.80872,18.82016
4350.07530,-3.39602,-4.94773,44.17311,5.79159,6.70914,12.83047,18.84191
4350.08530,-3.40451,-4.94125,44.21086,5.79159,6.73239,12.83772,18.84916
4350.09530,-3.43553,-4.98097,44.11786,5.75019,6.67059,12.80832,18.88876
4350.10530,-3.38089,-4.98732,44.18460,5.75649,6.67077,12.88585,18.87148
4350.11530,-3.32537,-4.97243,44.27986,5.78159,6.70139,12.95772,18.83916
4350.12530,-3.35608,-4.98647,44.17903,5.77165,6.65570,12.89365,18.85803
4350.13530,-3.38517,-4.98979,44.11806,5.75759,6.64619,12.85232,18.86196
4350.14530,-3.38190,-4.97336,44.17986,5.75159,6.70139,12.88772,18.83916
4350.15530,-3.36549,-4.98258,44.22365,5.76165,6.68579,12.91289,18.86332
4350.16530,-3.34933,-4.99166,44.26686,5.77159,6.67039,12.93772,18.88716
4350.17530,-3.33899,-4.99346,44.21205,5.75899,6.66409,12.93772,18.85125
4350.18530,-3.39077,-4.99141,44.18559,5.73313,6.68648,12.89954,18.86643
4350.19530,-3.42384,-4.98963,44.18886,5.72259,6.70139,12.87772,18.88716
4350.20530,-3.42168,-4.97928,44.22006,5.73793,6.71491,12.87772,18.88950
4350.21530,-3.41554,-4.94988,44.30886,5.78159,6.75339,12.87772,18.89616
4350.22530,-3.39915,-4.97313,44.23886,5.75613,6.71394,12.89045,18.87834
4350.23530,-3.38005,-4.99851,44.19189,5.73588,6.67175,12.91039,18.87386
4350.24530,-3.37443,-5.00548,44.18786,5.73259,6.66039,12.91772,18.87716
4350.25530,-3.36489,-5.00500,44.18266,5.73753,6.65493,12.92032,18.86988
4350.26530,-3.33528,-4.98229,44.23003,5.78872,6.66109,12.91938,18.86084
4350.27530,-3.33188,-4.95259,44.31686,5.84059,6.69139,12.90772,18.87716
4350.28530,-3.31315,-4.98934,44.26076,5.79520,6.64957,12.94852,18.86747
4350.29530,-3.29511,-5.02474,44.20686,5.75159,6.60939,12.98772,18.85816
4350.30530,-3.29262,-5.02929,44.20086,5.75659,6.59389,12.98272,18.86766
4350.31530,-3.28630,-5.03549,44.27902,5.75169,6.60859,13.02722,18.89152
4350.32530,-3.28240,-5.03716,44.36486,5.74159,6.63939,13.07772,18.90616
4350.33530,-3.28806,-5.02181,44.33136,5.75659,6.64489,13.04272,18.88716
4350.34530,-3.30171,-5.02399,44.36436,5.76659,6.63989,13.03272,18.92516
4350.35530,-3.30968,-5.04148,44.43086,5.76159,6.62939,13.05772,18.98216
4350.36530,-3.30968,-5.04148,44.43086,5.76159,6.62939,13.05772,18.98216
4350.37530,-3.30308,-5.00788,44.41486,5.78159,6.67039,13.03772,18.92516
4350.38530,-3.28632,-5.01564,44.37959,5.77712,6.64986,13.04442,18.90820
4350.39530,-3.22704,-5.03958,44.25834,5.76668,6.57987,13.06403,18.84776
4350.40530,-3.22121,-5.01517,44.26970,5.80589,6.59123,13.03562,18.83696
4350.41530,-3.22996,-4.99108,44.28252,5.83059,6.61693,13.00742,18.82759
4350.42530,-3.26942,-4.97116,44.25351,5.81344,6.66458,12.97191,18.80359
4350.43530,-3.27831,-4.98399,44.14286,5.77159,6.65039,12.95772,18.76316
4350.44530,-3.27831,-4.98399,44.14286,5.77159,6.65039,12.95772,18.76316
4350.45530,-3.28932,-4.94127,44.37686,5.86959,6.70139,12.94772,18.85816
4350.46530,-3.29169,-4.94148,44.35854,5.86235,6.70302,12.94477,18.84841
4350.47530,-3.29692,-4.93219,44.26700,5.85038,6.70709,12.91257,18.79696
4350.48530,-3.27189,-4.90099,44.30886,5.93859,6.69139,12.86772,18.81116
4350.49530,-3.27189,-4.90099,44.30886,5.93859,6.69139,12.86772,18.81116
4350.50530,-3.32488,-4.87573,44.02220,5.87205,6.72499,12.75872,18.66644
4350.51530,-3.34875,-4.88400,44.02886,5.85059,6.73239,12.75872,18.68716
4350.52530,-3.35177,-4.88493,44.02729,5.84835,6.73239,12.75723,18.68932
4350.53530,-3.37690,-4.89265,44.01425,5.82972,6.73239,12.74481,18.70733
4350.54530,-3.38826,-4.89264,44.02200,5.82475,6.73960,12.74149,18.71616
4350.55530,-3.38220,-4.86866,44.08789,5.85059,6.77893,12.74962,18.70875
4350.56530,-3.38108,-4.86576,43.94086,5.85059,6.74239,12.68872,18.65916
4350.57530,-3.38108,-4.86576,43.94086,5.85059,6.74239,12.68872,18.65916
4350.58530,-3.40946,-4.85266,43.96057,5.86019,6.76370,12.65862,18.67806
